			Grading Table - Team10

| Section                  | Grade                 | Note                                                                                                                                                                                                             |
|--------------------------|-----------------------|------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
| Sprint Planning          | 9/9                   |                                                                                                                                                                                                                  |
| Scrums                   | 23.333333333333332/25 | Scrum 1:No task updates available for Richard Hernandez & Tianhua Lyu in the Scrum Task Chart. If you are researching something related to the project itself, it can be mentioned as a seperate subtask itself. |
|                          |                       | Scrum 2:Task Chart not updated for Richard. Nothing in progress for him.                                                                                                                                         |
|                          |                       | Scrum 3:                                                                                                                                                                                                         |
|                          |                       | Scrum 4:                                                                                                                                                                                                         |
|                          |                       | Scrum 5:                                                                                                                                                                                                         |
| Retrospective            | 4.5/6                 | The team's biggest weakness was Coverage, but this was not discussed at all in the Retrospective. The plan for TDD was not very strong and basically was that the team will try harder. (-1.5)                   |
| TDD                      | 7.1/10                |                                                                                                                                                                                                                  |
| Sustainable Pace         | 10/10                 |                                                                                                                                                                                                                  |
| GitFlow                  | 7.5/10                |                                                                                                                                                                                                                  |
| Continuous Integration   | 10/10                 |                                                                                                                                                                                                                  |
| Refactor                 | 10/10                 |                                                                                                                                                                                                                  |
| Coverage                 | 5/10                  |                                                                                                                                                                                                                  |
| ------------------------ | -------------------   |                                                                                                                                                                                                                  |
| Total                    | 86.43333333333334     |                                                                                                                                                                                                                  |
| ------------------------ | -------------------   |                                                                                                                                                                                                                  |
| Implementation Score     | 26.0/250              |                                                                                                                                                                                                                  |
